Issue Id,Parent Id,Issue Type,Summary,Description,Epic Link,Labels,Priority
S34,,Story,Cutover planning and go-live readiness,"As a project team, we want a complete cutover plan so go-live happens in a controlled manner.",REPLACE_WITH_EPIC_KEY,"Cutover,Phase7",High
S34-T1,S34,Sub-task,Create detailed cutover checklist,,,"Cutover,Phase7",Medium
S34-T2,S34,Sub-task,Define go and no-go criteria,,,"Cutover,Phase7",Medium
S34-T3,S34,Sub-task,Define freeze window and communications,,,"Cutover,Phase7",Medium
S34-T4,S34,Sub-task,Confirm production support coverage and escalation matrix,,,"Cutover,Phase7",Medium
S34-T5,S34,Sub-task,Confirm final deployment package and migration readiness,,,"Cutover,Phase7",Medium
S34-T6,S34,Sub-task,Hold cutover rehearsal and readiness review,,,"Cutover,Phase7",Medium
S35,,Story,Production deployment and go-live,"As a project sponsor, I want the new CRM deployed successfully so the business can transition to the new platform.",REPLACE_WITH_EPIC_KEY,"Cutover,GoLive,Phase8",High
S35-T1,S35,Sub-task,Deploy production solution components,,,"Cutover,GoLive,Phase8",Medium
S35-T2,S35,Sub-task,Execute production data migration,,,"Cutover,GoLive,Phase8",Medium
S35-T3,S35,Sub-task,Enable integrations and scheduled jobs,,,"Cutover,GoLive,Phase8",Medium
S35-T4,S35,Sub-task,Execute smoke testing,,,"Cutover,GoLive,Phase8",Medium
S35-T5,S35,Sub-task,"Validate critical reports, dashboards, and record access",,,"Cutover,GoLive,Phase8",Medium
S35-T6,S35,Sub-task,Obtain go-live approval and announce launch,,,"Cutover,GoLive,Phase8",Medium
S36,,Story,Hypercare and support transition,"As a support organization, we want hypercare completed and ownership transitioned so the system remains stable after launch.",REPLACE_WITH_EPIC_KEY,"Hypercare,Support,Phase8",Medium
S36-T1,S36,Sub-task,Stand up hypercare team and support channel,,,"Hypercare,Support,Phase8",Medium
S36-T2,S36,Sub-task,Monitor production issues and prioritize fixes,,,"Hypercare,Support,Phase8",Medium
S36-T3,S36,Sub-task,Reconcile integration and data issues daily,,,"Hypercare,Support,Phase8",Medium
S36-T4,S36,Sub-task,Track adoption metrics and user feedback,,,"Hypercare,Support,Phase8",Medium
S36-T5,S36,Sub-task,Transition support to steady-state operations,,,"Hypercare,Support,Phase8",Medium
S36-T6,S36,Sub-task,Conduct lessons learned and closeout review,,,"Hypercare,Support,Phase8",Medium
